Date,Open,High,Low,Close,Volume
2021-03-22,15967.4501953125,15984.599609375,15668.9501953125,15802.25,1247700.0
2021-03-23,15854.0498046875,16023.5,15748.099609375,15944.400390625,1458700.0
2021-03-24,15818.599609375,15863.75,15574.0498046875,15604.4501953125,1305900.0
2021-03-25,15677.900390625,15708.2998046875,15287.650390625,15474.75,1701800.0
2021-03-26,15728.5498046875,15801.0498046875,15614.7001953125,15717.2001953125,1272900.0
2021-03-30,15866.400390625,16067.900390625,15850.5498046875,16037.849609375,1573900.0
2021-03-31,15991.599609375,15994.599609375,15662.7998046875,15715.599609375,1334700.0
2021-04-01,15845.25,15942.150390625,15638.0498046875,15909.25,1149100.0
2021-04-05,15847.650390625,15866.7001953125,15231.599609375,15392.099609375,1442500.0
2021-04-06,15512.5,15548.900390625,15281.349609375,15394.849609375,1271700.0
2021-04-07,15421.2001953125,15662.5,15283.7001953125,15577.5498046875,1437200.0
2021-04-08,15650.7998046875,15736.2998046875,15473.900390625,15525.150390625,1116900.0
2021-04-09,15490.0,15591.7001953125,15369.599609375,15412.5,1310600.0
2021-04-12,15054.650390625,15068.0,14600.650390625,14711.0,2024100.0
2021-04-13,14753.4501953125,15234.099609375,14693.0,15209.150390625,1565700.0
2021-04-15,15300.4501953125,15411.9501953125,15050.25,15387.400390625,1690300.0
2021-04-16,15404.349609375,15479.75,15326.0,15362.25,1167300.0
2021-04-19,14900.400390625,15043.75,14675.4501953125,15006.5498046875,1549000.0
2021-04-20,15204.599609375,15255.400390625,14830.25,14922.099609375,1631300.0
2021-04-22,14778.25,15264.650390625,14690.150390625,15239.5,1684300.0
2021-04-23,15095.650390625,15381.7001953125,15049.7998046875,15238.25,1675800.0
2021-04-26,15436.0498046875,15577.349609375,15377.0,15436.900390625,2272900.0
2021-04-27,15423.7001953125,15615.900390625,15389.75,15589.25,1836500.0
2021-04-28,15630.650390625,16062.4501953125,15610.4501953125,16039.75,2072500.0
2021-04-29,16133.349609375,16297.5498046875,15903.7001953125,16047.0498046875,1871700.0
2021-04-30,15790.7998046875,15872.9501953125,15526.599609375,15560.099609375,1787100.0
2021-05-03,15338.7001953125,15575.75,15238.75,15529.2001953125,1387700.0
2021-05-04,15588.150390625,15721.900390625,15377.7998046875,15401.599609375,1657500.0
2021-05-06,15622.150390625,15681.9501953125,15526.349609375,15654.7001953125,1077800.0
2021-05-07,15786.650390625,15847.7998046875,15662.9501953125,15771.0498046875,1064900.0
2021-05-10,15900.900390625,15974.150390625,15855.0,15904.75,1178000.0
2021-05-12,15631.849609375,15633.150390625,15457.349609375,15507.349609375,1345400.0
2021-05-14,15517.9501953125,15554.5,15347.650390625,15412.349609375,1171000.0
2021-05-17,15533.0498046875,15928.650390625,15467.599609375,15905.2001953125,1943500.0
2021-05-18,16079.400390625,16208.849609375,16034.5498046875,16140.150390625,1640400.0
2021-05-19,16067.849609375,16168.900390625,15954.599609375,15981.4501953125,1190800.0
2021-05-21,15950.7998046875,16373.099609375,15948.25,16339.849609375,2980000.0
