Date,Udemy,Easter,Christmas
7/22/2017,489,0,0
7/23/2017,524,0,0
7/24/2017,714,0,0
7/25/2017,713,0,0
7/26/2017,738,0,0
7/27/2017,656,0,0
7/28/2017,624,0,0
7/29/2017,472,0,0
7/30/2017,505,0,0
7/31/2017,806,0,0
8/1/2017,732,0,0
8/2/2017,730,0,0
8/3/2017,684,0,0
8/4/2017,652,0,0
8/5/2017,432,0,0
8/6/2017,477,0,0
8/7/2017,712,0,0
8/8/2017,724,0,0
8/9/2017,756,0,0
8/10/2017,683,0,0
8/11/2017,594,0,0
8/12/2017,480,0,0
8/13/2017,482,0,0
8/14/2017,671,0,0
8/15/2017,646,0,0
8/16/2017,706,0,0
8/17/2017,690,0,0
8/18/2017,588,0,0
8/19/2017,480,0,0
8/20/2017,546,0,0
8/21/2017,706,0,0
8/22/2017,846,0,0
8/23/2017,862,0,0
8/24/2017,786,0,0
8/25/2017,781,0,0
8/26/2017,577,0,0
8/27/2017,621,0,0
8/28/2017,806,0,0
8/29/2017,1003,0,0
8/30/2017,1064,0,0
8/31/2017,1331,0,0
9/1/2017,783,0,0
9/2/2017,540,0,0
9/3/2017,506,0,0
9/4/2017,713,0,0
9/5/2017,710,0,0
9/6/2017,788,0,0
9/7/2017,723,0,0
9/8/2017,651,0,0
9/9/2017,558,0,0
9/10/2017,593,0,0
9/11/2017,734,0,0
9/12/2017,700,0,0
9/13/2017,773,0,0
9/14/2017,797,0,0
9/15/2017,667,0,0
9/16/2017,549,0,0
9/17/2017,603,0,0
9/18/2017,744,0,0
9/19/2017,749,0,0
9/20/2017,880,0,0
9/21/2017,780,0,0
9/22/2017,750,0,0
9/23/2017,555,0,0
9/24/2017,546,0,0
9/25/2017,757,0,0
9/26/2017,742,0,0
9/27/2017,781,0,0
9/28/2017,734,0,0
9/29/2017,711,0,0
9/30/2017,521,0,0
10/1/2017,538,0,0
10/2/2017,765,0,0
10/3/2017,775,0,0
10/4/2017,763,0,0
10/5/2017,770,0,0
10/6/2017,726,0,0
10/7/2017,579,0,0
10/8/2017,592,0,0
10/9/2017,813,0,0
10/10/2017,886,0,0
10/11/2017,858,0,0
10/12/2017,864,0,0
